market_id,event_ticker,action,reason,new_enabled,new_min_spread,new_quote_size,new_max_inventory_yes,new_max_inventory_no,pnl_24h,fill_count_24h,fill_count_48h,has_position,position_qty,fair_value,fair_value_rationale,approve
KXAIRTAGS2PRICE-27-30,KXAIRTAGS2PRICE-27,exit,P&L < -$0.50 in 24h ($-0.68),False,,,,,-0.68,1,9,False,0,,,yes
KXTRUMPMEETING-27JAN01-NKJU,KXTRUMPMEETING-27JAN01,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0,,,yes
KXGTAPRICE-100,KXGTAPRICE,skip_event_active,No fills in 48 hours (but 2 sibling markets active),,,,,,0.00,0,0,False,0,,,no
KXPGAMAJORWIN-26-SSCH,KXPGAMAJORWIN-26,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0,,,yes
KXPCECORE-26MAR-T0.2,KXPCECORE-26MAR,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0,,,yes
KXJENSENMENTION-26JAN06-TAIW,KXJENSENMENTION-26JAN06,skip_event_active,P&L < -$0.50 in 24h ($-1.50) (but 1 sibling markets active),,,,,,-1.50,3,3,True,10,,,no
KXIPO-26-RIPPLE,KXIPO-26,skip_event_active,No fills in 48 hours (but 1 sibling markets active),,,,,,0.00,0,0,False,0,,,no
KXNEXTCOACHOUTNFL-26-2-CIN,KXNEXTCOACHOUTNFL-26-2,activate_sibling,Sibling of expanding market in event KXNEXTCOACHOUTNFL-26-2,True,0.06,10,20,20,0.00,0,0,False,0,20.0,"Zac Taylor is publicly identified as Cincinnati’s head coach and is widely reported to be on the hot seat after another non‑playoff 2025 season, with several media outlets naming him among coaches likely to be let go — but Bengals ownership has historically been relatively patient, lowering the immediate likelihood of a quick dismissal. ([bengals.com](https://www.bengals.com/team/coaches-roster/zac-taylor?utm_source=openai)) Given typical timing (many firings occur in the week after the regular season) and multiple other vulnerable coaches league‑wide, I assess Cincinnati as a plausible but not the single most likely next coach‑out, so ~20% reflects that mix of pressure and organizational tolerance.",yes
KXNEXTCOACHOUTNFL-26-2-BAL,KXNEXTCOACHOUTNFL-26-2,activate_sibling,Sibling of expanding market in event KXNEXTCOACHOUTNFL-26-2,True,0.06,10,20,20,0.00,0,0,False,0,10.0,"John Harbaugh signed a three‑year extension with the Ravens through 2028, giving him substantial contractual and organizational protection against an immediate dismissal. ([baltimoreravens.com](https://www.baltimoreravens.com/news/john-harbaugh-contract-extension-ravens-three-years-2028?utm_source=openai)) The Ravens are 7-8 and facing possible elimination with recent media reports of friction around Lamar Jackson increasing short‑term scrutiny, which raises the risk slightly—but given Harbaugh’s long tenure and owner support, Baltimore remains considerably less likely than many struggling teams to be the next coach out before Feb 8, 2026. ([reuters.com](https://www.reuters.com/sports/lamar-jackson-doubtful-jordan-love-questionable-ravens-packers--flm-2025-12-26/?utm_source=openai))",yes
KXNEXTCOACHOUTNFL-26-2-CLE,KXNEXTCOACHOUTNFL-26-2,activate_sibling,Sibling of expanding market in event KXNEXTCOACHOUTNFL-26-2,True,0.06,10,20,20,0.00,0,0,False,0,35.0,"Cleveland has underperformed this season and Kevin Stefanski is publicly on the hot seat, making him a plausible near-term departure candidate. However, insiders and club statements have signaled ownership’s willingness to retain Stefanski (he’s a two‑time Coach of the Year), which reduces the chance he’s the very next coach out before Feb 8, 2026 — overall I assess a moderate (~35%) probability. ([nfl.com](https://www.nfl.com/news/kevin-stefanski-expected-to-remain-as-browns-head-coach-in-2025?utm_source=openai))",yes
KXNEXTCOACHOUTNFL-26-2-MIA,KXNEXTCOACHOUTNFL-26-2,activate_sibling,Sibling of expanding market in event KXNEXTCOACHOUTNFL-26-2,True,0.06,10,20,20,0.00,0,0,False,0,18.0,"McDaniel has a multi-year extension through 2028 and the club publicly kept him on after firing GM Chris Grier, which reduces the likelihood Miami will be the immediate next head-coach exit. ([thephinsider.com](https://www.thephinsider.com/2024/8/30/24232245/breaking-miami-dolphins-extend-head-coach-mike-mcdaniel-through-2028-nfl?utm_source=openai)) However, Miami’s poor on-field results this season, a recent benching of Tua Tagovailoa and recurring 'hot seat' chatter keep him a plausible near-term candidate, so I estimate about an 18% chance he’ll be the next NFL head coach to leave before Feb 8, 2026. ([the-sun.com](https://www.the-sun.com/sport/15668406/miami-dolphins-tua-tagovailoa-contract-decision/?utm_source=openai))",yes
KXNEXTCOACHOUTNFL-26-2-ATL,KXNEXTCOACHOUTNFL-26-2,activate_sibling,Sibling of expanding market in event KXNEXTCOACHOUTNFL-26-2,True,0.06,10,20,20,0.00,0,0,False,0,15.0,"Raheem Morris is the Falcons’ head coach and Atlanta finished the 2025 season out of the playoffs with team leadership saying they will ‘evaluate everything,’ so a Morris exit before Feb 8, 2026 is plausible. However, many other franchises also enter January with tenuous coaching situations and NFL teams commonly make multiple decisions in the early offseason, so it’s more likely some other club will announce the next head-coach departure first. ([atlantafalcons.com](https://www.atlantafalcons.com/team/coaches-roster/raheem-morris?utm_source=openai))",yes
